soak setup complete at 2026-06-07T04:24:09Z
snapshot recorded at 2026-06-10T15:51:23Z (readyz=200)
snapshot recorded at 2026-06-10T16:21:23Z (readyz=200)
snapshot recorded at 2026-06-10T16:51:23Z (readyz=200)
snapshot recorded at 2026-06-10T18:40:38Z (readyz=200)
snapshot recorded at 2026-06-10T19:10:38Z (readyz=200)
snapshot recorded at 2026-06-10T19:40:38Z (readyz=200)
snapshot recorded at 2026-06-10T20:40:50Z (readyz=200)
snapshot recorded at 2026-06-10T21:10:50Z (readyz=200)
snapshot recorded at 2026-06-10T21:40:53Z (readyz=200)
snapshot recorded at 2026-06-10T22:11:08Z (readyz=200)
snapshot recorded at 2026-06-10T22:41:08Z (readyz=200)
snapshot recorded at 2026-06-10T23:11:08Z (readyz=200)
snapshot recorded at 2026-06-11T00:16:23Z (readyz=200)
snapshot recorded at 2026-06-11T00:46:23Z (readyz=200)
snapshot recorded at 2026-06-11T01:16:23Z (readyz=200)
snapshot recorded at 2026-06-11T02:16:38Z (readyz=200)
snapshot recorded at 2026-06-11T02:46:38Z (readyz=200)
snapshot recorded at 2026-06-11T03:16:46Z (readyz=200)
snapshot recorded at 2026-06-11T04:16:53Z (readyz=200)
snapshot recorded at 2026-06-11T04:46:53Z (readyz=200)
snapshot recorded at 2026-06-11T05:16:53Z (readyz=200)
snapshot recorded at 2026-06-11T05:47:08Z (readyz=200)
snapshot recorded at 2026-06-11T06:17:08Z (readyz=200)
snapshot recorded at 2026-06-11T06:47:08Z (readyz=200)
snapshot recorded at 2026-06-11T07:17:30Z (readyz=200)
snapshot recorded at 2026-06-11T08:17:38Z (readyz=200)
snapshot recorded at 2026-06-11T08:47:38Z (readyz=200)
snapshot recorded at 2026-06-11T09:17:42Z (readyz=200)
snapshot recorded at 2026-06-11T09:47:48Z (readyz=200)
snapshot recorded at 2026-06-11T10:17:53Z (readyz=200)
snapshot recorded at 2026-06-11T10:47:53Z (readyz=200)
snapshot recorded at 2026-06-11T11:48:08Z (readyz=200)
snapshot recorded at 2026-06-11T12:18:08Z (readyz=200)
snapshot recorded at 2026-06-11T13:18:08Z (readyz=200)
snapshot recorded at 2026-06-11T13:48:20Z (readyz=200)
snapshot recorded at 2026-06-11T14:18:20Z (readyz=200)
snapshot recorded at 2026-06-11T15:18:23Z (readyz=200)
snapshot recorded at 2026-06-11T15:48:23Z (readyz=200)
snapshot recorded at 2026-06-11T16:51:37Z (readyz=200)
snapshot recorded at 2026-06-11T18:27:23Z (readyz=200)
snapshot recorded at 2026-06-11T18:57:23Z (readyz=200)
snapshot recorded at 2026-06-11T19:27:23Z (readyz=200)
snapshot recorded at 2026-06-11T21:31:38Z (readyz=200)
snapshot recorded at 2026-06-11T22:01:38Z (readyz=200)
snapshot recorded at 2026-06-11T22:31:38Z (readyz=200)
snapshot recorded at 2026-06-12T00:22:23Z (readyz=200)
snapshot recorded at 2026-06-12T00:52:23Z (readyz=200)
snapshot recorded at 2026-06-12T01:22:23Z (readyz=200)
snapshot recorded at 2026-06-12T01:52:38Z (readyz=200)
snapshot recorded at 2026-06-12T02:22:38Z (readyz=200)
snapshot recorded at 2026-06-12T02:52:38Z (readyz=200)
snapshot recorded at 2026-06-12T03:52:53Z (readyz=200)
snapshot recorded at 2026-06-12T04:23:08Z (readyz=200)
snapshot recorded at 2026-06-12T05:02:23Z (readyz=200)
snapshot recorded at 2026-06-12T05:32:33Z (readyz=200)
snapshot recorded at 2026-06-12T06:02:38Z (readyz=200)
snapshot recorded at 2026-06-12T07:07:38Z (readyz=200)
snapshot recorded at 2026-06-12T07:37:38Z (readyz=200)
snapshot recorded at 2026-06-12T08:07:38Z (readyz=200)
snapshot recorded at 2026-06-12T09:38:38Z (readyz=200)
snapshot recorded at 2026-06-12T10:08:38Z (readyz=200)
snapshot recorded at 2026-06-12T10:38:38Z (readyz=200)
snapshot recorded at 2026-06-12T11:08:53Z (readyz=200)
snapshot recorded at 2026-06-12T11:39:08Z (readyz=200)
snapshot recorded at 2026-06-12T12:09:08Z (readyz=200)
snapshot recorded at 2026-06-12T13:09:08Z (readyz=200)
snapshot recorded at 2026-06-12T13:39:23Z (readyz=200)
snapshot recorded at 2026-06-12T14:09:23Z (readyz=200)
snapshot recorded at 2026-06-12T15:18:53Z (readyz=200)
snapshot recorded at 2026-06-12T15:48:53Z (readyz=200)
snapshot recorded at 2026-06-12T16:18:53Z (readyz=200)
snapshot recorded at 2026-06-12T18:06:53Z (readyz=200)
snapshot recorded at 2026-06-12T18:36:53Z (readyz=200)
snapshot recorded at 2026-06-12T19:06:53Z (readyz=200)
snapshot recorded at 2026-06-12T20:13:53Z (readyz=200)
snapshot recorded at 2026-06-12T20:43:53Z (readyz=200)
snapshot recorded at 2026-06-12T21:13:53Z (readyz=200)
snapshot recorded at 2026-06-12T22:14:08Z (readyz=200)
snapshot recorded at 2026-06-12T22:44:08Z (readyz=200)
snapshot recorded at 2026-06-13T00:07:08Z (readyz=200)
snapshot recorded at 2026-06-13T00:37:08Z (readyz=200)
snapshot recorded at 2026-06-13T01:07:08Z (readyz=200)
snapshot recorded at 2026-06-13T03:03:53Z (readyz=200)
snapshot recorded at 2026-06-13T03:33:53Z (readyz=200)
snapshot recorded at 2026-06-13T04:03:53Z (readyz=200)
snapshot recorded at 2026-06-13T05:04:53Z (readyz=200)
snapshot recorded at 2026-06-13T05:34:53Z (readyz=200)
snapshot recorded at 2026-06-13T06:04:53Z (readyz=200)
snapshot recorded at 2026-06-13T07:05:01Z (readyz=200)
snapshot recorded at 2026-06-13T07:35:01Z (readyz=200)
snapshot recorded at 2026-06-13T08:05:02Z (readyz=200)
snapshot recorded at 2026-06-13T12:15:23Z (readyz=200)
snapshot recorded at 2026-06-13T12:45:23Z (readyz=200)
snapshot recorded at 2026-06-13T13:15:23Z (readyz=200)
snapshot recorded at 2026-06-13T13:45:38Z (readyz=200)
snapshot recorded at 2026-06-13T14:15:50Z (readyz=200)
snapshot recorded at 2026-06-13T14:45:53Z (readyz=200)
snapshot recorded at 2026-06-13T15:19:38Z (readyz=200)
snapshot recorded at 2026-06-13T15:49:44Z (readyz=200)
snapshot recorded at 2026-06-13T16:19:53Z (readyz=200)
snapshot recorded at 2026-06-13T17:20:08Z (readyz=200)
snapshot recorded at 2026-06-13T17:50:08Z (readyz=200)
snapshot recorded at 2026-06-13T19:40:50Z (readyz=200)
snapshot recorded at 2026-06-13T20:10:53Z (readyz=200)
snapshot recorded at 2026-06-13T20:40:53Z (readyz=200)
snapshot recorded at 2026-06-13T22:06:53Z (readyz=200)
snapshot recorded at 2026-06-13T22:36:53Z (readyz=200)
snapshot recorded at 2026-06-13T23:06:53Z (readyz=200)
snapshot recorded at 2026-06-13T23:37:49Z (readyz=200)
snapshot recorded at 2026-06-14T00:07:53Z (readyz=200)
snapshot recorded at 2026-06-14T00:37:53Z (readyz=200)
snapshot recorded at 2026-06-14T01:07:53Z (readyz=200)
snapshot recorded at 2026-06-14T01:38:40Z (readyz=200)
snapshot recorded at 2026-06-14T02:12:13Z (readyz=200)
snapshot recorded at 2026-06-14T03:43:53Z (readyz=200)
snapshot recorded at 2026-06-14T04:14:08Z (readyz=200)
snapshot recorded at 2026-06-14T04:44:08Z (readyz=200)
snapshot recorded at 2026-06-14T05:14:08Z (readyz=200)
snapshot recorded at 2026-06-14T07:16:08Z (readyz=200)
snapshot recorded at 2026-06-14T07:46:08Z (readyz=200)
snapshot recorded at 2026-06-14T08:16:08Z (readyz=200)
snapshot recorded at 2026-06-14T08:46:10Z (readyz=200)
snapshot recorded at 2026-06-14T09:16:23Z (readyz=200)
snapshot recorded at 2026-06-14T10:16:38Z (readyz=200)
snapshot recorded at 2026-06-14T10:46:38Z (readyz=200)
snapshot recorded at 2026-06-14T11:16:38Z (readyz=200)
snapshot recorded at 2026-06-14T11:51:37Z (readyz=200)
snapshot recorded at 2026-06-14T13:17:23Z (readyz=200)
snapshot recorded at 2026-06-14T13:47:23Z (readyz=200)
snapshot recorded at 2026-06-14T14:17:23Z (readyz=200)
snapshot recorded at 2026-06-14T16:19:08Z (readyz=200)
snapshot recorded at 2026-06-14T16:49:08Z (readyz=200)
snapshot recorded at 2026-06-14T17:19:08Z (readyz=200)
snapshot recorded at 2026-06-14T19:31:38Z (readyz=200)
snapshot recorded at 2026-06-14T20:01:38Z (readyz=200)
snapshot recorded at 2026-06-14T20:31:38Z (readyz=200)
snapshot recorded at 2026-06-14T21:01:53Z (readyz=200)
snapshot recorded at 2026-06-14T21:31:58Z (readyz=200)
snapshot recorded at 2026-06-14T22:02:08Z (readyz=200)
snapshot recorded at 2026-06-14T23:02:08Z (readyz=200)
snapshot recorded at 2026-06-14T23:32:08Z (readyz=200)
snapshot recorded at 2026-06-15T00:03:10Z (readyz=200)
snapshot recorded at 2026-06-15T00:33:20Z (readyz=200)
snapshot recorded at 2026-06-15T01:03:23Z (readyz=200)
snapshot recorded at 2026-06-15T01:33:23Z (readyz=200)
snapshot recorded at 2026-06-15T03:35:38Z (readyz=200)
snapshot recorded at 2026-06-15T04:05:38Z (readyz=200)
snapshot recorded at 2026-06-15T04:35:38Z (readyz=200)
snapshot recorded at 2026-06-15T06:01:23Z (readyz=200)
snapshot recorded at 2026-06-15T06:31:23Z (readyz=200)
snapshot recorded at 2026-06-15T07:01:23Z (readyz=200)
snapshot recorded at 2026-06-15T07:31:38Z (readyz=200)
snapshot recorded at 2026-06-15T08:01:38Z (readyz=200)
snapshot recorded at 2026-06-15T08:31:38Z (readyz=200)
snapshot recorded at 2026-06-15T09:31:53Z (readyz=200)
snapshot recorded at 2026-06-15T10:01:53Z (readyz=200)
snapshot recorded at 2026-06-15T11:06:56Z (readyz=200)
snapshot recorded at 2026-06-15T12:47:38Z (readyz=200)
snapshot recorded at 2026-06-15T13:17:38Z (readyz=200)
snapshot recorded at 2026-06-15T13:47:38Z (readyz=200)
snapshot recorded at 2026-06-15T15:44:53Z (readyz=200)
snapshot recorded at 2026-06-15T16:14:53Z (readyz=200)
snapshot recorded at 2026-06-15T16:44:53Z (readyz=200)
snapshot recorded at 2026-06-15T18:19:53Z (readyz=200)
snapshot recorded at 2026-06-15T18:49:53Z (readyz=200)
snapshot recorded at 2026-06-15T19:19:53Z (readyz=200)
snapshot recorded at 2026-06-15T19:49:53Z (readyz=200)
snapshot recorded at 2026-06-15T20:20:01Z (readyz=200)
snapshot recorded at 2026-06-15T20:50:08Z (readyz=200)
snapshot recorded at 2026-06-15T22:36:14Z (readyz=200)
snapshot recorded at 2026-06-15T23:06:23Z (readyz=200)
snapshot recorded at 2026-06-15T23:36:23Z (readyz=200)
snapshot recorded at 2026-06-16T00:50:08Z (readyz=200)
snapshot recorded at 2026-06-16T01:20:08Z (readyz=200)
snapshot recorded at 2026-06-16T01:50:08Z (readyz=200)
snapshot recorded at 2026-06-16T02:50:08Z (readyz=200)
snapshot recorded at 2026-06-16T03:20:08Z (readyz=200)
snapshot recorded at 2026-06-16T03:50:08Z (readyz=200)
snapshot recorded at 2026-06-16T04:50:23Z (readyz=200)
snapshot recorded at 2026-06-16T05:20:23Z (readyz=200)
snapshot recorded at 2026-06-16T05:50:28Z (readyz=200)
snapshot recorded at 2026-06-16T07:03:08Z (readyz=200)
snapshot recorded at 2026-06-16T07:33:08Z (readyz=200)
snapshot recorded at 2026-06-16T08:03:08Z (readyz=200)
snapshot recorded at 2026-06-16T09:37:08Z (readyz=200)
snapshot recorded at 2026-06-16T10:07:08Z (readyz=200)
snapshot recorded at 2026-06-16T10:37:08Z (readyz=200)
snapshot recorded at 2026-06-16T12:12:40Z (readyz=200)
snapshot recorded at 2026-06-16T12:42:38Z (readyz=200)
snapshot recorded at 2026-06-16T14:23:44Z (readyz=200)
snapshot recorded at 2026-06-16T14:53:53Z (readyz=200)
snapshot recorded at 2026-06-16T15:23:53Z (readyz=200)
snapshot recorded at 2026-06-16T17:04:23Z (readyz=200)
snapshot recorded at 2026-06-16T17:34:23Z (readyz=200)
snapshot recorded at 2026-06-16T18:04:23Z (readyz=200)
snapshot recorded at 2026-06-16T18:57:32Z (readyz=200)
snapshot recorded at 2026-06-16T20:28:38Z (readyz=200)
snapshot recorded at 2026-06-16T20:59:44Z (readyz=200)
snapshot recorded at 2026-06-16T21:59:53Z (readyz=200)
snapshot recorded at 2026-06-16T22:30:08Z (readyz=200)
snapshot recorded at 2026-06-16T23:00:59Z (readyz=200)
snapshot recorded at 2026-06-17T00:06:08Z (readyz=200)
snapshot recorded at 2026-06-17T00:36:08Z (readyz=200)
snapshot recorded at 2026-06-17T01:06:08Z (readyz=200)
snapshot recorded at 2026-06-17T01:36:08Z (readyz=200)
snapshot recorded at 2026-06-17T02:06:14Z (readyz=200)
snapshot recorded at 2026-06-17T02:36:23Z (readyz=200)
snapshot recorded at 2026-06-17T04:00:53Z (readyz=200)
snapshot recorded at 2026-06-17T04:30:53Z (readyz=200)
snapshot recorded at 2026-06-17T05:00:53Z (readyz=200)
snapshot recorded at 2026-06-17T06:05:08Z (readyz=200)
snapshot recorded at 2026-06-17T06:35:08Z (readyz=200)
snapshot recorded at 2026-06-17T07:05:08Z (readyz=200)
snapshot recorded at 2026-06-17T07:35:11Z (readyz=200)
snapshot recorded at 2026-06-17T08:05:25Z (readyz=200)
snapshot recorded at 2026-06-17T08:35:23Z (readyz=200)
snapshot recorded at 2026-06-17T11:01:38Z (readyz=200)
snapshot recorded at 2026-06-17T11:31:38Z (readyz=200)
snapshot recorded at 2026-06-17T12:01:38Z (readyz=200)
snapshot recorded at 2026-06-17T13:01:53Z (readyz=200)
snapshot recorded at 2026-06-17T13:31:53Z (readyz=200)
snapshot recorded at 2026-06-17T14:32:08Z (readyz=200)
snapshot recorded at 2026-06-17T15:02:08Z (readyz=200)
snapshot recorded at 2026-06-17T15:32:08Z (readyz=200)
snapshot recorded at 2026-06-17T16:04:47Z (readyz=200)
snapshot recorded at 2026-06-17T16:35:05Z (readyz=200)
snapshot recorded at 2026-06-17T17:05:08Z (readyz=200)
snapshot recorded at 2026-06-17T18:05:08Z (readyz=200)
snapshot recorded at 2026-06-17T18:35:08Z (readyz=200)
snapshot recorded at 2026-06-17T19:05:16Z (readyz=200)
snapshot recorded at 2026-06-17T19:35:52Z (readyz=200)
snapshot recorded at 2026-06-17T20:15:45Z (readyz=200)
snapshot recorded at 2026-06-17T20:45:53Z (readyz=200)
snapshot recorded at 2026-06-17T21:15:53Z (readyz=200)
snapshot recorded at 2026-06-17T21:45:53Z (readyz=200)
snapshot recorded at 2026-06-17T23:26:53Z (readyz=200)
snapshot recorded at 2026-06-17T23:56:53Z (readyz=200)
snapshot recorded at 2026-06-18T00:26:53Z (readyz=200)
snapshot recorded at 2026-06-18T01:27:08Z (readyz=200)
snapshot recorded at 2026-06-18T01:57:23Z (readyz=200)
snapshot recorded at 2026-06-18T03:02:53Z (readyz=200)
snapshot recorded at 2026-06-18T03:32:53Z (readyz=200)
snapshot recorded at 2026-06-18T04:02:53Z (readyz=200)
snapshot recorded at 2026-06-18T06:28:23Z (readyz=200)
snapshot recorded at 2026-06-18T06:58:23Z (readyz=200)
snapshot recorded at 2026-06-18T07:28:23Z (readyz=200)
snapshot recorded at 2026-06-18T07:58:33Z (readyz=200)
snapshot recorded at 2026-06-18T08:28:38Z (readyz=200)
snapshot recorded at 2026-06-18T11:07:23Z (readyz=200)
snapshot recorded at 2026-06-18T11:37:23Z (readyz=200)
snapshot recorded at 2026-06-18T12:07:23Z (readyz=200)
snapshot recorded at 2026-06-18T13:18:38Z (readyz=200)
snapshot recorded at 2026-06-18T13:48:38Z (readyz=200)
snapshot recorded at 2026-06-18T14:18:38Z (readyz=200)
snapshot recorded at 2026-06-18T16:16:08Z (readyz=200)
snapshot recorded at 2026-06-18T16:46:08Z (readyz=200)
snapshot recorded at 2026-06-18T17:16:08Z (readyz=200)
snapshot recorded at 2026-06-18T18:56:08Z (readyz=200)
snapshot recorded at 2026-06-18T19:26:08Z (readyz=200)
snapshot recorded at 2026-06-18T19:56:08Z (readyz=200)
snapshot recorded at 2026-06-18T20:26:44Z (readyz=200)
snapshot recorded at 2026-06-18T20:56:53Z (readyz=200)
snapshot recorded at 2026-06-18T21:32:59Z (readyz=200)
snapshot recorded at 2026-06-18T22:33:25Z (readyz=200)
snapshot recorded at 2026-06-19T00:26:38Z (readyz=200)
snapshot recorded at 2026-06-19T00:56:38Z (readyz=200)
snapshot recorded at 2026-06-19T01:26:38Z (readyz=200)
snapshot recorded at 2026-06-19T02:26:53Z (readyz=200)
snapshot recorded at 2026-06-19T02:56:53Z (readyz=200)
snapshot recorded at 2026-06-19T03:57:08Z (readyz=200)
snapshot recorded at 2026-06-19T04:27:08Z (readyz=200)
snapshot recorded at 2026-06-19T04:57:08Z (readyz=200)
snapshot recorded at 2026-06-19T06:36:38Z (readyz=200)
snapshot recorded at 2026-06-19T07:06:38Z (readyz=200)
snapshot recorded at 2026-06-19T07:36:38Z (readyz=200)
snapshot recorded at 2026-06-19T09:04:23Z (readyz=200)
snapshot recorded at 2026-06-19T09:34:23Z (readyz=200)
snapshot recorded at 2026-06-19T10:04:23Z (readyz=200)
snapshot recorded at 2026-06-19T12:03:08Z (readyz=200)
snapshot recorded at 2026-06-19T12:33:08Z (readyz=200)
snapshot recorded at 2026-06-19T13:03:08Z (readyz=200)
snapshot recorded at 2026-06-19T14:20:23Z (readyz=200)
snapshot recorded at 2026-06-19T14:50:23Z (readyz=200)
snapshot recorded at 2026-06-19T15:20:23Z (readyz=200)
snapshot recorded at 2026-06-19T16:21:08Z (readyz=200)
snapshot recorded at 2026-06-19T16:51:08Z (readyz=200)
snapshot recorded at 2026-06-19T17:21:08Z (readyz=200)
snapshot recorded at 2026-06-19T17:51:19Z (readyz=200)
snapshot recorded at 2026-06-19T18:21:23Z (readyz=200)
snapshot recorded at 2026-06-19T19:35:08Z (readyz=200)
snapshot recorded at 2026-06-19T20:05:08Z (readyz=200)
snapshot recorded at 2026-06-19T20:35:08Z (readyz=200)
snapshot recorded at 2026-06-19T21:35:23Z (readyz=200)
snapshot recorded at 2026-06-19T22:05:23Z (readyz=200)
snapshot recorded at 2026-06-19T22:35:23Z (readyz=200)
snapshot recorded at 2026-06-19T23:35:46Z (readyz=200)
snapshot recorded at 2026-06-20T00:48:53Z (readyz=200)
snapshot recorded at 2026-06-20T01:18:53Z (readyz=200)
snapshot recorded at 2026-06-20T01:48:53Z (readyz=200)
snapshot recorded at 2026-06-20T03:06:53Z (readyz=200)
snapshot recorded at 2026-06-20T03:36:53Z (readyz=200)
snapshot recorded at 2026-06-20T04:06:53Z (readyz=200)
snapshot recorded at 2026-06-20T04:39:23Z (readyz=200)
snapshot recorded at 2026-06-20T06:15:23Z (readyz=200)
snapshot recorded at 2026-06-20T06:45:23Z (readyz=200)
snapshot recorded at 2026-06-20T07:15:23Z (readyz=200)
snapshot recorded at 2026-06-20T09:21:53Z (readyz=200)
snapshot recorded at 2026-06-20T09:51:53Z (readyz=200)
snapshot recorded at 2026-06-20T10:21:53Z (readyz=200)
snapshot recorded at 2026-06-20T12:09:53Z (readyz=200)
snapshot recorded at 2026-06-20T12:39:53Z (readyz=200)
snapshot recorded at 2026-06-20T13:09:53Z (readyz=200)
snapshot recorded at 2026-06-20T13:39:58Z (readyz=200)
snapshot recorded at 2026-06-20T14:10:08Z (readyz=200)
snapshot recorded at 2026-06-20T14:40:08Z (readyz=200)
snapshot recorded at 2026-06-20T16:20:38Z (readyz=200)
snapshot recorded at 2026-06-20T16:50:38Z (readyz=200)
snapshot recorded at 2026-06-20T17:20:38Z (readyz=200)
snapshot recorded at 2026-06-20T19:03:44Z (readyz=200)
snapshot recorded at 2026-06-20T19:33:53Z (readyz=200)
snapshot recorded at 2026-06-20T20:03:53Z (readyz=200)
snapshot recorded at 2026-06-20T21:46:08Z (readyz=200)
snapshot recorded at 2026-06-20T22:16:08Z (readyz=200)
snapshot recorded at 2026-06-20T22:46:08Z (readyz=200)
snapshot recorded at 2026-06-21T00:30:53Z (readyz=200)
snapshot recorded at 2026-06-21T01:00:53Z (readyz=200)
snapshot recorded at 2026-06-21T01:30:53Z (readyz=200)
snapshot recorded at 2026-06-21T02:55:08Z (readyz=200)
snapshot recorded at 2026-06-21T03:25:08Z (readyz=200)
snapshot recorded at 2026-06-21T03:55:08Z (readyz=200)
